0,Swedish Short-Snout,Rxtg,45,blue
0,Antipodean Opaleye,Ojhkw,44,white
0,Hungarian Horntail,Fhpwnp,96,red
0,Peruvian Vipertooth,Gev,29,red
0,Romanian Longhorn,Ughykvlh,24,blue
0,Hebridean Black,Yuavkg,65,blue
0,Peruvian Vipertooth,Knw,6,blue
0,Ukrainian Ironbelly,Yvfpcrxh,82,black
0,Hebridean Black,Vyq,14,black
0,Antipodean Opaleye,Aoc,73,black
0,Hungarian Horntail,Osgei,27,red
0,Ukrainian Ironbelly,Feodhgv,50,blue
0,Hebridean Black,Eliowp,91,white
0,Peruvian Vipertooth,Wolrthn,14,blue
0,Hungarian Horntail,Dfdlsutk,72,white
0,Chinese Fireball,Nfeyv,13,white
0,Common Welsh Green,Kvqemr,83,red
0,Swedish Short-Snout,Nvsvhwod,39,red
0,Common Welsh Green,Jlbidp,87,white
0,Antipodean Opaleye,Lqpb,90,red
0,Swedish Short-Snout,Uhrboob,39,blue
0,Swedish Short-Snout,Trrlp,40,blue
0,Chinese Fireball,Ekfyocrp,60,white
0,Antipodean Opaleye,Yymieme,48,red
0,Swedish Short-Snout,Kbh,7,black
0,Norwegian Ridgeback,Pxconydw,99,black
0,Ukrainian Ironbelly,Dyhialqn,62,white
0,Chinese Fireball,Oim,33,red
0,Hungarian Horntail,Iaabeqrl,52,red
0,Hebridean Black,Johsb,23,black
0,Antipodean Opaleye,Hppagp,60,blue
0,Antipodean Opaleye,Pjuq,20,blue
0,Norwegian Ridgeback,Jwbuqpv,29,red
0,Norwegian Ridgeback,Jmoepoep,3,red
0,Peruvian Vipertooth,Svd,6,white
0,Common Welsh Green,Jub,59,white
0,Hebridean Black,Okfxafen,38,black
0,Antipodean Opaleye,Upqsmaov,5,red
0,Swedish Short-Snout,Waxm,41,blue
0,Hebridean Black,Vnonub,35,black
0,Hungarian Horntail,Qjdswnwf,20,black
0,Romanian Longhorn,Ekibj,15,red
0,Hebridean Black,Aqrv,88,red
0,Hebridean Black,Beykvtb,58,black
0,Romanian Longhorn,Hjchna,28,blue
0,Peruvian Vipertooth,Fwe,16,red
0,Chinese Fireball,Bxlmqne,18,white
0,Ukrainian Ironbelly,Jdu,22,blue
0,Hungarian Horntail,Jdflawa,36,red
0,Common Welsh Green,Vjgaru,6,white
0,Common Welsh Green,Ckbwf,39,blue
0,Norwegian Ridgeback,Qcb,48,red
0,Common Welsh Green,Gqp,3,black
0,Peruvian Vipertooth,Wwj,88,black
0,Hebridean Black,Qes,84,blue
0,Peruvian Vipertooth,Enjqmwbs,84,white
0,Hebridean Black,Vcy,59,black
0,Antipodean Opaleye,Odnjllum,54,white
0,Common Welsh Green,Ovra,78,white
0,Chinese Fireball,Msou,21,blue
0,Peruvian Vipertooth,Vhpbuv,32,white
0,Romanian Longhorn,Rwv,36,red
0,Norwegian Ridgeback,Xwhrxv,55,black
0,Peruvian Vipertooth,Icxugky,44,black
0,Hebridean Black,Nluawq,82,red
0,Antipodean Opaleye,Abxgtvy,75,white
0,Hebridean Black,Vibx,97,white
0,Antipodean Opaleye,Mlr,61,blue
0,Ukrainian Ironbelly,Fbdc,45,blue
0,Chinese Fireball,Pfdpwkvo,6,blue
0,Swedish Short-Snout,Uovpgump,80,red
0,Hungarian Horntail,Onvucm,22,white
0,Ukrainian Ironbelly,Cllrwher,51,white
0,Hebridean Black,Hrt,55,white
0,Hebridean Black,Afdetgm,26,blue
0,Swedish Short-Snout,Llqcsc,95,red
0,Romanian Longhorn,Bsqme,98,black
0,Antipodean Opaleye,Wjtysmn,94,blue
0,Norwegian Ridgeback,Lko,12,blue
0,Ukrainian Ironbelly,Cny,79,white
0,Chinese Fireball,Ufrhmkl,25,black
0,Common Welsh Green,Trlcw,9,white
0,Common Welsh Green,Pkl,90,red
0,Antipodean Opaleye,Ljqxg,55,white
0,Hebridean Black,Rjswc,42,black
0,Hungarian Horntail,Wnf,29,blue
0,Hungarian Horntail,Ipt,34,blue
0,Norwegian Ridgeback,Fqjxlfym,42,blue
0,Norwegian Ridgeback,Hhdqc,60,white
0,Common Welsh Green,Qhtre,19,blue
0,Peruvian Vipertooth,Cea,100,blue
0,Chinese Fireball,Mbcvoo,34,red
0,Norwegian Ridgeback,Llsxe,34,blue
0,Ukrainian Ironbelly,Lnge,39,white
0,Peruvian Vipertooth,Suuoqgdy,39,black
0,Romanian Longhorn,Eye,93,red
0,Swedish Short-Snout,Xrsqhee,47,black
0,Peruvian Vipertooth,Fhqwf,49,white
0,Romanian Longhorn,Jndrs,94,blue
0,Norwegian Ridgeback,Bbc,73,white
0,Romanian Longhorn,Egultpy,55,blue
0,Chinese Fireball,Nhmyeseo,6,red
0,Common Welsh Green,Mfrfriv,97,red
0,Hebridean Black,Jpuawjlx,89,black
0,Chinese Fireball,Cfixamlg,91,red
0,Antipodean Opaleye,Vgvu,79,blue
0,Swedish Short-Snout,Iysbu,17,white
0,Swedish Short-Snout,Mmitbky,46,blue
0,Norwegian Ridgeback,Lkhgo,43,black
0,Hebridean Black,Qfb,63,black
0,Hungarian Horntail,Aduxwxcu,81,red
0,Hungarian Horntail,Eeleuk,74,black
0,Common Welsh Green,Avht,23,black
0,Hebridean Black,Qjdlvyey,67,black
0,Norwegian Ridgeback,Ryvur,15,white
0,Chinese Fireball,Skjgm,90,black
0,Swedish Short-Snout,Jmilacj,63,blue
0,Chinese Fireball,Kpwdcebd,60,black
0,Swedish Short-Snout,Xvhht,67,red
0,Swedish Short-Snout,Atetjw,67,black
0,Romanian Longhorn,Uyvd,30,blue
0,Chinese Fireball,Wioyv,22,blue
0,Common Welsh Green,Rfia,69,black
0,Peruvian Vipertooth,Txila,100,white
0,Antipodean Opaleye,Nosvuaue,2,red
0,Chinese Fireball,Bjjhtbgr,82,white
0,Norwegian Ridgeback,Moxss,57,red
0,Chinese Fireball,Emfjftd,89,black
0,Hebridean Black,Qewdvlv,81,red
0,Swedish Short-Snout,Xqnfwjeo,73,black
0,Romanian Longhorn,Qmf,91,blue
0,Hungarian Horntail,Nhgbcci,9,red
0,Swedish Short-Snout,Ragivnr,36,black
0,Peruvian Vipertooth,Vcivw,37,black
